,_id,movie_title,year,mpaa_rating,runtime,genre,rating,metascore,summary,director,stars,votes,gross_revenue_us_canada,imdb_url,image_url
0,1000001,Suburban Secrets,2004,R,153,"Drama, Romance",,,"Laura, a famous nude model, returns to her small-town home when she learns that her old boyfriend is having a relationship with her aunt.",Joseph W. Sarno,"     Alisha Angel, Andrea Davis, Chelsea Mundae, A.J. Khan",464,,https://www.imdb.com/title/tt0406951/?ref_=adv_li_tt,"https://m.media-amazon.com/images/M/MV5BMTM4MDkwOTk3MF5BMl5BanBnXkFtZTcwMDI4NTQzMQ@@._V1_UY98_CR1,0,67,98_AL_.jpg"
1,1000002,Forbidden Lust,2004,Not Rated,81,"Drama, Horror",,,"When archeologist Roger receives a strange and sexy idol at his office, he is unaware of the erotic powers it possesses. He has been studying the possible existence of an ancient culture ...                See full summary »",Christopher Murphy,"     Chris Evans, Ander Page, Sasha Peralto, Paige Richards",86,,https://www.imdb.com/title/tt5914346/?ref_=adv_li_tt,"https://m.media-amazon.com/images/M/MV5BYTYxYWNlNWItOThlOC00OWU5LTk2YTMtZWI1MmMzZWRkNjZkXkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_UY98_CR1,0,67,98_AL_.jpg"
2,1000003,Glitterati,2004,,90,Drama,,,"An after-the-fact work intended to bridge between Roger Avary's adaptations of two Bret Easton Ellis novels, ""Rules of Attraction"" and ""Glamorama"", ""Glitterati"" is a feature-length ...                See full summary »",Roger Avary,"     Angela Gregovic, Will Hodgkinson, Corina Marinescu, Paul Oakenfold",180,,https://www.imdb.com/title/tt0390051/?ref_=adv_li_tt,"https://m.media-amazon.com/images/M/MV5BY2RjMzhlMTgtYTY3MS00NjgzLTkzNjgtOWUyNmMxOThhNDc1XkEyXkFqcGdeQXVyMTAxODYyODI@._V1_UX67_CR0,0,67,98_AL_.jpg"
3,1000004,Vampires: The Turning,2004,R,84,"Action, Horror, Thriller",,,An American muay-thai fighter in Thailand must join forces with a group of vampire hunters to track down and kill a vampire lord who has kidnapped his gilfriend.,Martin Jay Weiss,"     Colin Egglesfield, Stephanie Chao, Roger Yuan, Patrick Bauchau","1,883",,https://www.imdb.com/title/tt0398378/?ref_=adv_li_tt,"https://m.media-amazon.com/images/M/MV5BMjAyMzI4MzIyNl5BMl5BanBnXkFtZTgwMTQyOTkwMzE@._V1_UY98_CR0,0,67,98_AL_.jpg"
4,1000005,The Last Run,2004,R,97,"Comedy, Drama",,,"When a young accountant is devastated after discovering his inspiringly beautiful girlfriend is cheating on him, his best friend, who's engaged to a girl he doesn't love, convinces him to ...                See full summary »",Jonathan Segal,"     Fred Savage, Amy Adams, Steven Pasquale, Andrea Bogart","1,632",,https://www.imdb.com/title/tt0376720/?ref_=adv_li_tt,"https://m.media-amazon.com/images/M/MV5BMTg0NDcwOTYzOV5BMl5BanBnXkFtZTcwOTkxNjk0MQ@@._V1_UX67_CR0,0,67,98_AL_.jpg"
5,1000006,Meet Market,2004,R,78,"Comedy, Romance",,,"Lonely aspirants on the LA singles scene hook up at their local grocery store, where they can see and be seen by some of their dubiously eligible fellow singles, all the while hoping for one magical relationship that will finally click...",Charlie Loventhal,"     Krista Allen, Elizabeth Berkley, Susan Egan, Suzanne Krull",698,,https://www.imdb.com/title/tt0366762/?ref_=adv_li_tt,"https://m.media-amazon.com/images/M/MV5BMTQ0MjI2MjExOV5BMl5BanBnXkFtZTcwMzY3OTI1MQ@@._V1_UY98_CR0,0,67,98_AL_.jpg"
6,1000007,Clean,II) ,Not Rated,105,"Drama, Thriller",,,"Maynard Yates is a Hollywood limousine driver trying to stay clean while navigating the dark, seedy underbelly of celebrity. He realizes that may be the driver but he's not in control.",Nyle Cavazos Garcia,"     Paolo Cascardo, Patrick Fabian, Tamara Mello, George Loros",117,,https://www.imdb.com/title/tt0396960/?ref_=adv_li_tt,"https://m.media-amazon.com/images/M/MV5BM2M4NTZiODItMmRhOS00YjY2LTllMTEtYmEwZDVkMGIwMDAwXkEyXkFqcGdeQXVyOTc2ODY2Mg@@._V1_UX67_CR0,0,67,98_AL_.jpg"
7,1000008,Gas,2004,R,98,Comedy,,,"Two feuding brothers inherit their father's gas station, and must run it together.",Henry Chan,"     Art Evans, Khalil Kain, Flex Alexander, Jo Marie Payton",156,,https://www.imdb.com/title/tt0422309/?ref_=adv_li_tt,"https://m.media-amazon.com/images/M/MV5BMTg1NzU5NTIwMV5BMl5BanBnXkFtZTcwNDExMzcyMQ@@._V1_UY98_CR1,0,67,98_AL_.jpg"
8,1000009,Wolf Tracer's Dinosaur Island,2004,,45,"Animation, Action, Adventure",,,Deep sea fishing expedition comes to a halt when a freak storm appears and passengers are washed ashore. Youngsters help the survivors avoid endless hazards and the evil island leader while...                See full summary »,Colin Slater,"     Mark Hamill, Heather Marie Marsden, Jack Angel, Eddie Driscoll",149,,https://www.imdb.com/title/tt0426315/?ref_=adv_li_tt,"https://m.media-amazon.com/images/M/MV5BNWMyODdjZGMtYzRkOS00NTIyLWI1NjAtNzZhNzg1MjNjNzk4XkEyXkFqcGdeQXVyNjg2MjY0NTA@._V1_UY98_CR39,0,67,98_AL_.jpg"
9,1000010,Full Clip,2004,R,95,"Action, Thriller",,,Joshua Pope (Busta Rhymes) returns to his childhood home to claim the inheritance his late father has left him only to find that the local police have turned the town upside down and are ...                See full summary »,mink,"     Shaun Baker, Busta Rhymes, Bubba Smith, Xzibit",537,,https://www.imdb.com/title/tt0353248/?ref_=adv_li_tt,"https://m.media-amazon.com/images/M/MV5BMTI5MDEyMTcwNV5BMl5BanBnXkFtZTcwNDMwNTYyMQ@@._V1_UY98_CR1,0,67,98_AL_.jpg"
