,_id,movie_title,year,mpaa_rating,runtime,genre,rating,metascore,summary,director,stars,votes,gross_revenue_us_canada,imdb_url,image_url
0,1000001,Landfill,II) ,,,"Crime, Family, Fantasy",,,"When a little girl begins to see the ghost of another girl her age shortly after finding a necklace at a landfill, she embarks on a journey to help the ghost discover the mystery behind her death.",Yesser Laham,"     Linda Blair, Christine Elise, Michael Dudikoff, Angela Jones",,,https://www.imdb.com/title/tt6499392/,"https://m.media-amazon.com/images/M/MV5BMGIxOTM4OWYtZGI4Ni00ZTBhLTgwMDYtMTI4ZDNhYjY5ZWIwXkEyXkFqcGdeQXVyNjMwMjM1MDM@._V1_UY98_CR1,0,67,98_AL_.jpg"
1,1000002,When Women Rule the World,2020,,87,"Comedy, Sci-Fi",,,Four young people get sucked into a time bending vortex to an apocalyptic future where women rule the earth.,Sheldon Silverstein,"     Anna Hera, Chris Gooch, Francisco DeCun, Sandra Glagla",90,,https://www.imdb.com/title/tt7344288/,"https://m.media-amazon.com/images/M/MV5BZWM4ZWFkNjQtMDViMS00ZmNkLTg0YjQtODRhZTkxZDAxZDIyXkEyXkFqcGdeQXVyMjU0OTQxNzY@._V1_UX67_CR0,0,67,98_AL_.jpg"
2,1000003,You Mean Everything to Me,2020,,,Drama,,,"Cassandra falls hard and fast for Nathan, a local DJ. As his coercive control increases and his demands grow darker, she must decide what her own freedom is worth.",Bryan Wizemann,"     Morgan Saylor, Ben Rosenfield, Lindsay Burdge, Bene Coopersmith",15,,https://www.imdb.com/title/tt10100196/,"https://m.media-amazon.com/images/M/MV5BNGUxNDYyYjAtMjFkMS00NjQ3LTljNjktZmM4MTQxNDZlNDI3XkEyXkFqcGdeQXVyMzExMTEwNTM@._V1_UX67_CR0,0,67,98_AL_.jpg"
3,1000004,The Entice,2020,,,"Romance, Thriller",,,"A promotion at an architectural firm lands newlyweds Frank and Lisa DiMarco in a cross-state move. But triumph isn't always righteous. Temptation weaves a dark web of desires, secrets, and ...                See full summary »","Altin Axel, Marcus Clemons","     Altin Axel, Breaunna Lake, Beth Hamouni, Marcus Clemons",,,https://www.imdb.com/title/tt10922634/,"https://m.media-amazon.com/images/M/MV5BNDA2YzI2OTItZjQxMy00NzUxLWFjYmQtNWFlNDc0YzIyODdkXkEyXkFqcGdeQXVyMTI3NzAxNzI@._V1_UY98_CR3,0,67,98_AL_.jpg"
4,1000005,Blue: The American Dream,2020,,97,"Crime, Drama, Sport",,,"Gary ""Blue"" Meekins is a medium-weight fighter struggling to box his way to the American dream, but Harlem's mean streets threaten to turn him into another statistic when an old friend cons...                See full summary »",Ryan Miningham,"     Don Wallace, Keith David, Henry G. Sanders, Daya Vaidya",34,,https://www.imdb.com/title/tt5446838/,"https://m.media-amazon.com/images/M/MV5BYzRiMDU1YjQtZTk5Yi00MzJiLWFiOWUtODA2ODBlZGY2NDE4XkEyXkFqcGdeQXVyMjExMjI5NzI@._V1_UX67_CR0,0,67,98_AL_.jpg"
5,1000006,Reign,2020,,,"Action, Drama, Sci-Fi",,,Two strangers are trapped in a dystopian underground fight circuit headed by the New World Order.,"Michael Chaturantabut, Joe Lujan","     Christian Larson, Ming Zhao, Amy Lyndon, Jay Hieron",,,https://www.imdb.com/title/tt11389328/,"https://m.media-amazon.com/images/M/MV5BODNiMTcxZmMtZTA0Ny00MDE4LThhNDItZjIzMjBlMjNkNzk1XkEyXkFqcGdeQXVyNjkxNDI0MTk@._V1_UX67_CR0,0,67,98_AL_.jpg"
6,1000007,Vincent's Vow,2020,,,Drama,,,"A broken 30-year-old man who struggles with commitment, accepts a challenge to ""learn what love is before claiming to love someone"". The results are certainly not what he'd expect.",Ducon Williams,"     Aline O'Neill, Debbie Sutcliffe, Madeline Grace Popovich, Courtney Lauster",53,,https://www.imdb.com/title/tt9272824/,"https://m.media-amazon.com/images/M/MV5BMWQ1ZGYxMzItN2Q0ZS00M2NkLWE3NzUtYzAwMDc1ZTFhY2VhXkEyXkFqcGdeQXVyOTMxMDc0OTU@._V1_UX67_CR0,0,67,98_AL_.jpg"
7,1000008,Shuttlecock,2020,TV-MA,105,Drama,,,"During a memorial for his father, WW II hero Major James Prentis confesses a dark family secret to his son, something he has harbored for more than 20 years.",Andrew Piddington,"     Alan Bates, Lambert Wilson, David Oakes, Kenneth Haigh",74,,https://www.imdb.com/title/tt14732108/,"https://m.media-amazon.com/images/M/MV5BZDBkZjhhMzEtZDA3NC00YjBlLTkxNjEtNTQyNGVkOTJkZDM5XkEyXkFqcGdeQXVyODAxOTk5Nw@@._V1_UY98_CR2,0,67,98_AL_.jpg"
8,1000009,The Wretched,2020,,95,Horror,,,Three women on a road trip stop at a haunted bed and breakfast and encounter a nefarious group of people with goals of literally raising hell.,Nathaniel Davis,"     Tynan Elizabeth Whitestead, Elle Rivers, Mia Riddle, Hannah Jay",21,,https://www.imdb.com/title/tt4906620/,"https://m.media-amazon.com/images/M/MV5BMzNkZjZkNTEtYWU4NC00ZWQ3LTkzNjEtNTUyN2QxNGFiNTFhXkEyXkFqcGdeQXVyODAzNjY0ODQ@._V1_UY98_CR0,0,67,98_AL_.jpg"
9,1000010,Bad Girls Club Magazine Sampler,2020,,,,,,"For many women (and men) around the world, it's different per person. For some, modeling as a way of therapy is their way of being bad. We showcase over 600 of our baddest magazine covers in this special item.",,,,,https://www.imdb.com/title/tt13497672/,"https://m.media-amazon.com/images/M/MV5BODc1NmE5YjktZGVlMy00YWU3LWE4YjAtYzJiOTY0YTA0NDdlXkEyXkFqcGdeQXVyMTcxMjQ1NA@@._V1_UY98_CR9,0,67,98_AL_.jpg"
