,_id,movie_title,year,mpaa_rating,runtime,genre,rating,metascore,summary,director,stars,votes,gross_revenue_us_canada,imdb_url,image_url
0,1000001,Defiance,2008,R,137,"Action, Drama, History",,58        ,"Jewish brothers in German-occupied Eastern Europe escape into a Belorussian forest, where they join Russian resistance fighters, and endeavor to build a village, in order to protect themselves and about one thousand Jewish non-combatants.",Edward Zwick,"     Daniel Craig, Liev Schreiber, Jamie Bell, Alexa Davalos","151,870",,https://www.imdb.com/title/tt1034303/,"https://m.media-amazon.com/images/M/MV5BZjEyYjk4ZDQtZDhjMi00NGFkLWExM2UtZjgyMDMxODgwNjgyXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX67_CR0,0,67,98_AL_.jpg"
1,1000002,Come Together,2008,Not Rated,93,"Comedy, Drama",,,"Seven hot, sex-starved college co-eds flee the LA riots to spend a weekend together in the Hollywood Hills. What could go wrong? A perfect mix of AMERICAN PIE and TV's THE BIG BANG THEORY.",Charles B. Unger,"     Jaimie Beebe, Vanessa Gomez, Cooney Horvath, Jen Kim",289,,https://www.imdb.com/title/tt1160907/,"https://m.media-amazon.com/images/M/MV5BNjM3ZWU2N2QtZWIxMS00NzcwLWE4MjQtNjFkY2Y0YTlkYzY3XkEyXkFqcGdeQXVyMTIzMzU0Mjgx._V1_UX67_CR0,0,67,98_AL_.jpg"
2,1000003,Orgies and the Meaning of Life,2008,Not Rated,90,"Comedy, Drama, Romance",,,"ORGIES AND THE MEANING OF LIFE is an eccentric and exciting film illuminating the inner and outer life of Baxter Goode, a man trying to find an ending to his book (about a sex obsessed ...                See full summary »",Brad T. Gottfred,"     Brad T. Gottfred, Lindsay Wray, Katherine Carlson, Jackie Mah",307,,https://www.imdb.com/title/tt1083468/,"https://m.media-amazon.com/images/M/MV5BMjE4NDcxMjg4Ml5BMl5BanBnXkFtZTcwNTc4NjYxNA@@._V1_UY98_CR1,0,67,98_AL_.jpg"
3,1000004,Ice Scream: The ReMix,2008,,,"Comedy, Horror",,,"""ICE SCREAM, the ReMix"" is a horror/comedy, about the perverted ice cream shop owner, Ricky, who boost-declining sales by renaming his shop to ""Scoopettes"", and markets it as an adult ice ...                See full summary »","John Darbonne, Thegin German","     Bobbi Billard, Akira Lane, Gelusa Zaripova, Joanna Hernandez",187,,https://www.imdb.com/title/tt1094598/,"https://m.media-amazon.com/images/M/MV5BZWFjNTA2ZDQtODY4Mi00OWIxLWEyMDQtYzYwYTJhMWEyYWZhXkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_UY98_CR1,0,67,98_AL_.jpg"
4,1000005,Road to Hell,2008,,87,"Action, Fantasy, Musical",,,A soldier who has been fighting a long war is driven mad because he no longer believes in any purpose or righteous truth behind the killing. He comes home to a surreal world looking for his...                See full summary »,Albert Pyun,"     Michael Paré, Clare Kramer, Courtney Peldon, Deborah Van Valkenburgh",924,,https://www.imdb.com/title/tt1253859/,"https://m.media-amazon.com/images/M/MV5BMjEwMjc0Mjg5N15BMl5BanBnXkFtZTcwNzQyNDk2OA@@._V1_UX67_CR0,0,67,98_AL_.jpg"
5,1000006,The Eleventh Hour,2008,Not Rated,93,"Action, Thriller",,,Action film about a N.Korean general's vendetta against a U.S. team of special ops soldiers who are on a mission to free Japanese political prisoners.,John Lyde,"     Matthew Reese, Jennifer Klekas, K. Danor Gerald, David Nibley",890,,https://www.imdb.com/title/tt1129420/,"https://m.media-amazon.com/images/M/MV5BNTA0ODIyODQ1M15BMl5BanBnXkFtZTcwNzEzMjU1MQ@@._V1_UY98_CR1,0,67,98_AL_.jpg"
6,1000007,I Am That Girl,2008,Not Rated,96,"Comedy, Drama, Romance",,,"I AM THAT GIRL is the story of Maxine, an anti-typical Asian American woman who lives a life of partying, funded by her eighty-thousand dollar credit card debt that she pays for by working ...                See full summary »",B. Hayward Randall,"     Grace Rowe, Michael Jaworski, Megan Molloy, Mandy Henderson",45,,https://www.imdb.com/title/tt1316056/,"https://m.media-amazon.com/images/M/MV5BMTc0NzAyNDAxMF5BMl5BanBnXkFtZTcwOTM4NjgwNg@@._V1_UX67_CR0,0,67,98_AL_.jpg"
7,1000008,Tenure,2008,R,89,"Comedy, Drama",,,"Professor Thurber loves to teach, but can't stand all the politicking. So when his opportunity for tenure is announced, he goes out on a limb to prove his worth, but unexpectedly falls in love with the girl who might replace him.",Mike Million,"     Luke Wilson, Gretchen Mol, David Koechner, Sasha Alexander","2,732",,https://www.imdb.com/title/tt1198408/,"https://m.media-amazon.com/images/M/MV5BODE1ODI1MmYtYTlkNy00NWQyLTlmNGUtOThhNTA2MTBkMmRiXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_UX67_CR0,0,67,98_AL_.jpg"
8,1000009,Beautiful Loser,2008,Not Rated,94,"Comedy, Drama",,,"His parents named him Reginald Regineld. His friends call him ""Ditto."" At the age of eleven he decided he wasn't going to do anything with his life. And that was going pretty well until ...                See full summary »",John Nolte,"     Adam Lamberg, Laura Breckenridge, Lenny von Dohlen, Keith David",214,,https://www.imdb.com/title/tt0756621/,"https://m.media-amazon.com/images/M/MV5BYjYxMDJhMzItZjhkYi00MDExLWJjMGUtZTJkYzQxYjEzZTczXkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_UY98_CR3,0,67,98_AL_.jpg"
9,1000010,Pirate's Blood,2008,,,"Action, Horror, Thriller",,,"A group of pirates keeps their bounty in a cave, guarded by the captain. Getting bored by the same monotones life, The Captain decided to share the bounty among the pirates.",Mark Ratering,"     Mymoona Al Baluchi, Salem Bahwan, Salim Bawa, Robert Chapin",64,,https://www.imdb.com/title/tt1204791/,"https://m.media-amazon.com/images/M/MV5BYjFlMzEzMTktM2Q2Yy00ZTAxLTgyM2UtMmM1N2NhZmIyNjJmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjk4NTA0NTA@._V1_UX67_CR0,0,67,98_AL_.jpg"
