,_id,movie_title,year,mpaa_rating,runtime,genre,rating,metascore,summary,director,stars,votes,gross_revenue_us_canada,imdb_url,image_url
0,1000001,Wedding Swingers,2018,,90,"Comedy, Drama, Romance",,,"Alan (Michael Nathanson), a successful TV producer of popular but bubble-headed sci-fi series, is about to get married to his beautiful fiancée, Jennifer (Charlbi Dean), the voluptuous but ...                See full summary »",Mark A. Altman,"     Steve Agee, Viva Bianca, Miklós Bányai, Charlbi Dean",165,,https://www.imdb.com/title/tt7141148/,"https://m.media-amazon.com/images/M/MV5BMTBkZGI1MmYtNWU1MC00Yjg1LTgyYWEtZDVjMmYwMDdjMjM2XkEyXkFqcGdeQXVyMjA1OTIxOTU@._V1_UX67_CR0,0,67,98_AL_.jpg"
1,1000002,A Sweetest Kiss,2018,,98,"Drama, History",,,"In the mid-20th century, a lesbian estranged from her family struggles to get them back by falsely adopting the faith of a Christian household where she takes shelter, but finds herself infatuated with their daughter.",Nguyen Nguyen,"     Stefanie Estes, Olivia Howell, Sarah Navratil, Marshal Hilton",109,,https://www.imdb.com/title/tt5605556/,"https://m.media-amazon.com/images/M/MV5BN2FiM2E2OTAtZGJmMS00M2Y5LWFmNjctNjEyM2ExMTA2NTkyXkEyXkFqcGdeQXVyMTk3MjQ2NjU@._V1_UX67_CR0,0,67,98_AL_.jpg"
2,1000003,Point of no Return,II) ,R,90,"Action, Adventure, Thriller",,,"Peter, a young aircraft engineer is deceived by his manager Jason into substituting faulty aircraft parts. When a part explodes killing a passenger, Air accident investigation find Peter responsible. Jason is found murdered.",Kevin Glynn,"     Bernard Deegan, Jordan Coombes, Nick Dunning, Don Wycherley","4,136",,https://www.imdb.com/title/tt6095984/,"https://m.media-amazon.com/images/M/MV5BMDg0ODNkNzYtNDhmNi00ZmIwLTg4ZjItYTNjZTViOGFiMTljXkEyXkFqcGdeQXVyNTc4MDI3MTY@._V1_UX67_CR0,0,67,98_AL_.jpg"
3,1000004,"Rich Boy, Rich Girl",2018,,108,"Comedy, Drama, Romance",,,Two Y generation dreamers meet and begin dating through false pretenses but when their lies catch up with them they are forced to take a good look at their choices and become the people they dreamed of.,"Judy San Roman, Andrew Damon Henriques","     Sasha Jackson, Cody Anthony, Elaine Hendrix, C. Thomas Howell",337,,https://www.imdb.com/title/tt6064520/,"https://m.media-amazon.com/images/M/MV5BODIyZmVjMGUtODRhMy00N2ExLTlhZWUtMzNlZWEzMzBjMzI3XkEyXkFqcGdeQXVyMjIxODA2MTA@._V1_UX67_CR0,0,67,98_AL_.jpg"
4,1000005,The Clinic,2018,,90,"Action, Horror, Mystery",,,"When a woman wakes up unexpectedly from a coma after an experimental procedure, she must piece together her past while searching for her missing daughter in a sinister hospital that won't let her go.",Darrell Wheat,"     Emily Bett Rickards, Meaghan Rath, Lulu Wilson, Richard Harmon",55,,https://www.imdb.com/title/tt4865022/,"https://m.media-amazon.com/images/M/MV5BMWI3MjU4MmMtOWI5Ny00ZWRmLTlkNzItOTJlOGY4MTgzMTUwXkEyXkFqcGdeQXVyNDI4ODkwMjY@._V1_UX67_CR0,0,67,98_AL_.jpg"
5,1000006,CobraGator,2018,,,"Action, Adventure, Comedy",,,"A gigantic, mutated, reptile attacks the population of an unprepared city.",Jim Wynorski,"     Michael Madsen, Grace Roubidoux, Aaron Groben, Lauren Parkinson",85,,https://www.imdb.com/title/tt4155680/,"https://m.media-amazon.com/images/M/MV5BMjRhZDA3YmEtMTJjMC00ZGZjLThhYzYtNjk1YmVmZGVhYTYzXkEyXkFqcGdeQXVyNjM2NTM3ODA@._V1_UY98_CR1,0,67,98_AL_.jpg"
6,1000007,Lazarus,VII),,114,"Drama, Musical",,,"Thomas Newton is a 'man' unable to die. We follow Newton, his head soaked in cheap gin and haunted by a past love, over the course of a few days where the arrival of another lost soul, might set him finally free.",Ivo van Hove,"     Gabrielle Brooks, Sophia Anne Caruso, Sydnie Christmas, Michael Esper",16,,https://www.imdb.com/title/tt21211282/,"https://m.media-amazon.com/images/M/MV5BOGYwYTM2YjItNzJlYy00MTY4LWI0NjQtMzNkYmRiZDUxYjc3XkEyXkFqcGdeQXVyNjczMzgwMDg@._V1_UX67_CR0,0,67,98_AL_.jpg"
7,1000008,Cool Cat Kids Superhero,2018,,88,"Action, Comedy, Crime",,,"Cool Cat is the Coolest Cat in the World. But Butch the Bully hates him and always tries to bully him, and Cool Cat shows kids how to win and be cool.",Derek Savage,"     Vivica A. Fox, Derek Savage, Erik Estrada, Cynthia Rothrock",319,,https://www.imdb.com/title/tt7281994/,"https://m.media-amazon.com/images/M/MV5BMDg3OWY1NDUtZmI1NC00MzQ0LWE0ODItNDlmZmI5ZTExOTVmXkEyXkFqcGdeQXVyMjcwMTQzODA@._V1_UY98_CR5,0,67,98_AL_.jpg"
8,1000009,Guadalajara,2018,,86,Drama,,,"While coming to terms with her identity High School dropout Guadalajara Bustamante befriends Coneja and Esme, the neighborhood queen bees. Guada's mom Sonya realizes she must step in and stop her daughter's destructive lifestyle.",William Napier,"     Nestor Aguilar, Rob Carlyle, Valeria Chavez, Doug Chung",9,,https://www.imdb.com/title/tt6166228/,"https://m.media-amazon.com/images/M/MV5BZTJhMDUxYzgtNTFlMC00MDlkLTkxYmQtYTIyM2IwNzhmMGViXkEyXkFqcGdeQXVyNTYzMjkwNjU@._V1_UX67_CR0,0,67,98_AL_.jpg"
9,1000010,Dead on Time,2018,TV-MA,94,"Action, Drama",,,"The 'Arab Spring of 2011' is in full eruption, turmoil consumes the Mid-East region as protesters, rebels and insurgents wreak havoc and destruction. A Clandestine American Military Agency,...                See full summary »",Rish Mustaine,"     John Sjogren, Mohamed Zouaoui, Michele Vittorio Ghersi, Affif Ben Badra",23,,https://www.imdb.com/title/tt4173184/,"https://m.media-amazon.com/images/M/MV5BZWY3ZTIwN2MtOWUzZC00NjAyLWFmNjYtYjZkMGM2ODAyYWVmXkEyXkFqcGdeQXVyNTg0MjM2MDQ@._V1_UX67_CR0,0,67,98_AL_.jpg"
10,1000011,Clown Motel Massacre,2018,,,Horror,,,"A group of ghost hunters, The Paranormal Searchers Squad, travel to the Clown Motel to see for themselves if the legend of William McReady, a murderous motel owner with a clown fetish, is ...                See full summary »",Tom Newth,"     Angela Nordeng, Ryan Izay, Tasha Tacosa, Jessie Lee Pauli",18,,https://www.imdb.com/title/tt7154870/,"https://m.media-amazon.com/images/M/MV5BODdkOWFjMzEtMDFhMi00NWI1LWExZjktMDZhNzY2YzdjODVjXkEyXkFqcGdeQXVyMzc5NjM5OTE@._V1_UX67_CR0,0,67,98_AL_.jpg"
11,1000012,Even After Everything,2018,TV-MA,90,Drama,,,A wealthy east coast house wife gets her world turned upside down when her estranged brother-in-law pops in for a visit. She is forced to confront the serial dysfunction in her marriage and challenge the status quo.,Josh Crook,"     Alice Callahan, Ed Trucco, Walker Hare, Campbell Dunsmore",47,,https://www.imdb.com/title/tt6143928/,"https://m.media-amazon.com/images/M/MV5BOWU3YWQwOTQtMDc4MS00NjJjLWE5NTEtYzA0MDdmN2I4MGFjXkEyXkFqcGdeQXVyMTgwNzQxMzI@._V1_UY98_CR39,0,67,98_AL_.jpg"
12,1000013,King of Newark 2,2018,,,Crime,,,"After an assassination attempt, Mayor Malcolm Graves fights to regain control of his life and city while saving his son from making the same mistakes of his past. Based on Living With No Regrets (2013), and King of Newark (2016).",Jamal Hall,"     Alonzo Herran JR, Eric Roberts, Chuck Zito, Lillo Brancato",18,,https://www.imdb.com/title/tt7945012/,"https://m.media-amazon.com/images/M/MV5BY2JkOWU3NzQtZDU3MC00NmVhLTk1NmItYTE3MmY0Mzc4YmM4XkEyXkFqcGdeQXVyODk1OTEwNzU@._V1_UY98_CR6,0,67,98_AL_.jpg"
